,Unnamed: 0,회사이름,급여,경력,학력,스킬,채용 포지션,담당업무,지원자격,우대사항
81,81,서비스로봇 전문기업,회사 내규에 따름,3년 이상,석사 이상,NaN,다중 로봇 제어 SW개발,"복잡하고 역동적인 환경에서 작동할 수 있는 자율 주행 로봇 알고리즘을 설계 및 개발, 유지 보수, 기술 지원함
Creo를 활용한 자율주행 서빙로봇 기구 및 구조 설계
서빙로봇 선행 개발 및 양산 개발
H/W 부품 실장 및 부품 레이아웃 검토
샘플제작 및 성능 테스트","경력 : 경력3년↑
실내 네비게이션 분야 상용화 제품 개발 경력자
다중 로봇 네비게이션 알고리즘 개발 경력자
다중 로봇 충돌 예측(collision map) 알고리즘 개발 경력자
Global path planning 개발 경력자(A* 등등)
C, C++, Python 등의 소프트웨어 언어 능통
탁월한 의사 소통 및 대인 관계 기술을 바탕으로 팀 중심 환경에서 작업할 수 있는 능력
비즈니스 회화 능력
Git 경험자","navigation 관련 석사 혹은 박사 학위 수여자
영어가능자
ISO13482 인증 경험자 우대
AMR(Autonomous Mobile Robot) or 자율주행로봇(라인트레이서 제외) 개발 경험자
ROS2 가능자
열정적인 모습으로 팀원들에게 동기 부여를 줄 수 있는 분
외국어 : OPIC IL 이상
전공 : 기계·메카트로닉스·로봇, 응용소프트웨어공학, 제어계측공학"
82,82,물류로봇 시스템기업,회사 내규에 따름,경력,석사 이상,"C, C++",제어 SW개발,로봇 제어 연구개발,"유관경력 6년이하
석사신입/병특지원가능
관련경력 3년이상경우 대졸지원가능
C/C++, C#, Qt중 1가지 이상 능숙자","해당직무 근무경험(모바일/이동로봇,자율주행자동차등) 
공학계열(제어/메카트로닉스/컴퓨터/전자) 
ROS, SLAM, 최적경로 알고리즘 경험자
-딥러닝/머신러닝 기반 인식 알고리즘 경험자
BLDC, AC Servor 모터 및 모션컨트롤 경험자
Lidar, Vision(Camera), Senser Fusion 경험자(영상.딥러닝)
Cortex M3/M4, ARM, STM32 사용, 다양한 Micom 펌웨어 가능자
Ethernet & CAN통신 & 모터 PID제어 & 센서류 제어 경험(경력별로 상이)
공모전 입상자
지방 출장 or 해외 출장 가능자"
83,83,로봇제조기업,"5,000~",3년 이상,대졸 이상,NaN,제어알고리즘전문가,다관절 로봇 제어 알고리즘 개발,"프로그래밍 스킬(C++ 필수) 보유자
Robot Kinematics, Dynamics에 대한 이해가 있는 자
기계, 전기, 메카트로닉스 또는 컴퓨터 공학 석사 이상
경력 3년 이상","로봇 모션/ 힘/ 강성제어 개발 경험자 우대
Matlab 경험자 우대"
84,84,로봇 제조회사,회사 내규에 따름,7년 이상,대졸 이상,NaN,ROS,다관절 로봇 제어 알고리즘 개발,"프로그래밍 스킬(C++ 필수) 보유자
 Robot Kinematics, Dynamics에 대한 이해가 있는 자
기계, 전기, 메카트로닉스 또는 컴퓨터 공학 석사 이상
경력 3년 이상","로봇 모션/ 힘/ 강성제어 개발 경험자 무대
Matlab 경험자 우대"
85,85,로봇제조기업,회사 내규에 따름,3년 이상,대졸 이상,NaN, ROS기반 협동 로봇 개발,ROS기반 System Integration(모바일 매니퓰레이션+Vision) 개발,"프로그래밍 스킬(C++ 필수) 보유자
기계, 전기, 메카트로닉스 또는 컴퓨터공학 학사 이상 ·경력 3년 이상","ROS기반 SLAM/Navigation S/W 개발 경험자 우대
ROS기반 Vision, Sensor Fusion S/W 개발 경험자 우대
ROS Movelt 이용한 모션 플래닝 경험자 우대
통신규격을 활용한 장치 인터페이스 관련 지식 보유자 우대
Python 프로그래밍 가능자 우대"
86,86,서비스로봇제조업,회사 내규에 따름,3년 이상,초대졸 이상,"C, C++, API, SDK, Git, JIRA, Docker", SW엔지니어,"로봇 소프트웨어의 내외부 통신 채널 구성 및 관리
로봇 소프트웨어의 상태 및 생애 주기 관리
로봇의 기능을 활용하는 API 설계 및 구현
로봇 소프트웨어의 구성 및 설정 관리
데이터의 취합 및 처리","C++ 개발 경력 4년 이상 혹은 그에 준하는 실력을 보유하신 분
기본적인 자료구조에 대한 이해 및 응용 분야에 대해 적용 경험 
Git을 통한 협업 및 버전 관리 가능","Web server/client 개발 경험
API/SDK 설계 및 작성 경험
CI/CD 및 자동화된 테스트 시스템 구축 경험
Robotics 관련 경험
상용 소프트웨어 개발 및 운영 경험"
87,87,업종 안써있음,회사 내규에 따름,5년 이상,대졸 이상,NaN,멀티로봇 및 FMS,"멀티 로봇 교통제어, 주행관리 기술 개발
멀티 로봇 Job 스케쥴링 기술 개발","학력 : 대졸이상
경력 : 5년 이상
수행직무 분야 경력 5년 이상
리눅스환경/프로그래밍(C++, Python) 활용능력 보유
실내/외 이동로봇 경로생성 및 실시간 장애물 회피 알고리즘 개발 경력 보유","ROS/ROS2 프로그램 개발 경력 우대
딥러닝/강화학습 개발 경력 우대
멀티 로봇용 서버 통신 프로토콜, 데이터베이스 및 시스템 아키텍처 설계 경력 우대"
88,88,의료기기 연구소,회사 내규에 따름,3년 이상,석사 이상,NaN,연구소 로봇실 Robotics 엔지니어,다관절 로봇의 기구동역학 모델링 및 제어,"관련 분야 실무 경력 3년 이상
로보틱스 관련 학과 석사 학위 이상 혹은 관련 분야 경력 보유자
로보틱스, 자동제어, 신호처리 이해 및 활용 가능
다관절 로봇 제어 경험
C/C++, Python 사용 가능","로봇 제어기 개발 경험
Simulator 활용 경험(Matlab, V-REP/CoppeliaSim, Gazebo 등)
SW 개발역량
문제해결 역량,
SW 협업 툴 활용 역량(git, notion, jira 등)"
89,89,의료기기 연구소,회사 내규에 따름,3년 이상,무관,NaN,연구소 로봇실 로봇 SW 엔지니어,실시간 제어 플랫폼 개발,"관련분야 실무 경력 3년 이상
객체지향 설계 및 개발 가능
Linux/Xenomai 경력 (OS 전반 및 실시간 OS 이해)
C++1x Python, git 역량
프로그래밍 기초 역량: Database, 데이터 구조와 알고리즘, TCP/IP 통신, etc.","로봇/자동화 시스템 제어 SW Framework 개발 경험
-SW Engineering 역량(요구공학, 구조설계, 테스트공학)
애자일 개발 프로세스 경험
-SW 협업툴 활용 역량(git, notion, jira 등)
-DevOps(CI/CD) 역량"
90,90,의료기기 연구소,회사 내규에 따름,5년 이상,무관,NaN,연구소 로봇실  로봇 전장설계 엔지니어,로봇 및 Master Console 전장 개발,"관련 분야 실무 경력 5년 이상
자동화 시스템의 전기도면 설계 및 제작 경험, 전기설비 사양 분석, 회로 도면 설계, 검수 및 외주관리 경험","이더캣 기반 모터 제어 시스템 설계 경험
로봇 혹은 자동화 장비 안전인증 경험
양산 경험"
91,91,의료기기 연구소,회사 내규에 따름,5년 이상,무관,NaN,연구소 로봇실 로봇 기구 설계 엔지니어,로봇 기구 설계 및 해석,"기구설계 경력 5년 이상
로봇관련 기구 설계 경험
정역학 및 동역학 해석 가능
Solidworks 능숙 활용","산업용 다관절 로봇 개발 경험
상용화 및 양산 설계 경험"
92,92,기계 제조 대기업,"6,000~8,000",5년 이상,대졸 이상,NaN,"제어기 S/W 개발
","자동차 VCU, 로봇 상위 제어기 인터페이스 설계
 자동차 VCU, 로봇 상위 제어기 소프트웨어 설계
CAN, LIN, 진단 통신, 부트로더 소프트웨어 개발
","학력 : 대졸이상
경력 : 5년 이상","자동차 전장 제어기 소프트웨어 양산개발 경험자
CAN 모니터링 및 Windows C#, C++ 프로그램 경험자
모터 제어 소프트웨어 경험자"
93,93,포스코 홀딩스,회사 내규에 따름,신입 또는 경력,석사 이상,"Python등 프로그래밍 언어
머신러닝, 딥러닝등 알고리즘/모델 디자인
SLAM/GPS기반 localization 경험",제어지능,"제조설비 실시간 제어 모델 및 시스템 구현
위험 작업 환경 원격 모니터링 시스템 및 로봇 제어모델 개발
Mobility 자율주행 및 물류기기 자동화",석사 박사,NaN
94,94,한국생산기술연구원,회사 내규에 따름,무관,대졸 이상," C++, Git, Matlab, Python, Solidworks,임베디드리눅스,AutoCAD, ROS, ROS2, Simulink ",R&D 연구개발 ,"R&D 및 국가연구개발사업 업무 지원,인공지능, 로봇, 제어, 자동화, 자율주행 관련 연구",대졸이상 (졸업예정자 가능),"영어가능자, 컴퓨터활용능력 우수자, 문서작성 우수자,프리젠테이션 능력우수자, 통계분석·리서치 능숙자, 석사학위 수여자, 박사학위 수여자, 
관련 학과 전공자, 리더쉽 소유자, 유관업무 경험자(인턴·알바), 장기근무 가능자, 
외국어 : TOEIC, TOEIC(Speaking), OPIC, 
전공 : 기계·메카트로닉스·로봇, 전기·전자공학, 제어계측공학"
95,95,한국생산기술연구원,회사 내규에 따름,무관,대졸 이상,NaN,자율주행 로봇 연구보조 (1명),"자율주행 알고리즘 연구개발, 데이터 수집/처리/분석, 자율주행 로봇 관련 실험보조, 운전 경험 무관",대졸이상 (졸업예정자 가능),"컴퓨터활용능력 우수자, 관련 학과 전공자,기계·메카트로닉스·로봇, 전기·전자공학, 전산학·컴퓨터공학, 대학원 진학 희망자"
96,96,한국생산기술연구원,회사 내규에 따름,무관,대졸 이상,NaN,자율주행 자동차 연구보조 (1명),"자율주행을 위한 도로 정밀지도 제작, 연구용 차량 운행, 자율주행 자동차 관련 실험보조",대졸이상 (졸업예정자 가능),"컴퓨터활용능력 우수자, 관련 학과 전공자,기계·메카트로닉스·로봇, 전기·전자공학, 전산학·컴퓨터공학, 대학원 진학 희망자"
97,97,포스코,회사 내규에 따름,신입,대졸 이상,NaN,로봇/자동화,"지능형 다관절 및 협동 로봇 구현 기술 개발
로봇 연계 자동화 시스템 개발","기계, 전기/전자, 컴공의 석사 박사",NaN
98,98,포스코,회사 내규에 따름,신입,대졸 이상,NaN,모바일 로봇 /SW 개발,"극한환경 극복 가능한 로봇 플랫폼 개발 및 적용
자율임무 수행가능 로봇 플랫폼 및 SW 개발","기계, 전기/전자, 컴공의 석사 박사",NaN
99,99,포스코,회사 내규에 따름,신입,대졸 이상,NaN,로봇 활용 센서/관제 SW 개발,"자동화 솔루션 인식 센서 및 지능형 SW 기술 개발
환경인식, 영상인식, 자율주행 등 제철공정 분야 S/W 기술개발","기계, 전기/전자, 컴공의 석사 박사",NaN
100,100,KT,회사 내규에 따름,3년 이상 또는 박사,대졸 이상,"Python 기반 DataScience Library를 활용한
소프트웨어 개발 역량
리눅스 활용 및 C/C++,Python 등을 활용한 시스템 프로그래밍 역량
ROS(Robot Operation System) 기반의 로봇SW 개발경험",AI 로봇 미드웨어 개발,"로봇 미들웨어 상용화 개발 및 로봇 라인업/OS 포트폴리오 확대, ROS 2 기반 로봇 미들웨어 기술 개발 및 상용화, 다양한 로봇분야별 단말 라인업 확대 및 OS 포트폴리오 확대
로봇 상용 현장 맞춤형 지도 생성/편집 최적화 기술 개발, 로봇 운영/센서데이터 기반 로봇 intelligence 기술 개발,  로봇 상용현장 최적의 로봇 지도 생성등 데이터 기반 로봇 intelligence 기술 개발 
로봇 상용현장 맞춤형 지도 생성/편집 최적화 기술 개발, 로봇 운영/센서 데이터 기반 로봇 intelligence 기술 개발",경력/박사,"ROS 2 기반 로봇 SW 및 로봇,미들웨어 상용화 경험 우대, ROS2 기반 로봇 품질 최적화 로봇 상용화 경험, 임베디드 시스템 개발 및 상용 경험 
임베디드 시스템 개발 및 상영 경험, Deep Learning Framework,(Tensorflow,PyTorch 등)을 활용한 알고리즘 개발 역량           "
101,101,KT,회사 내규에 따름,3년 이상 또는 박사,대졸 이상,"로봇 혹은 유사 메커니즘 개발 경력
기계공학 혹은 유사계열 전공자
2D,3D 기구설계&모델링 전문tool
(AutoCAD, Solidworks 등) 사용 가능자",AI 로봇 하드웨어 개발,"로봇 구동부 설계/개발
휠, 모터, 완충장치, 배터리, 센서류 등을 기반으로 로봇 구동부 설계 및 개발
로봇 동작 환겨을 고려한 최적 구동부 설계 및 개발
안전/품질을 고려한 제품 시험 및 최적화",경력/박사,"유사 프로젝트 진행 경험 및 실 근무 연수, 국내외 제품출시를 위한 인증규격 수행 경험자, Proactive한  사고 방식 및 적극성"
102,102,KT,회사 내규에 따름,3년 이상 또는 박사,대졸 이상,"전기/전자 회로 개발 경력
전기/전자 혹은 유사계열 전공자
회로설계 tool, 계측장비 사용 가능자
(OrCAF,PSPICE,PADS,Oscilloscope 등)",AI 로봇 하드웨어 개발,"로봇 전장부 및 회로부 설계/계발
processor, 센서, 디스플레이, 오디오 등을 기반으로 로봇 임베디드 시스템 설계 및 개발
서비스 요구사항을 고려한 최적 전장 회로 설계 및 개발
안전/품질을 고려한 제품 시험 및 최적화",경력/박사,"가전, AI, 로봇 등 임베디드 시스템 개발 상용화 경험 및 실 근무 연수, 국내외 제품 출시를 위한 인증규격 수행 경험자
Proactive 한 사고 방식 및 적극성"
103,103,KT,회사 내규에 따름,3년 이상 또는 박사,대졸 이상,"Machine Learning/통계 분석 지식 및 EDA(Exploratory Data Analysis) Python 기반 Data Science Library를 활용한 소프트웨어 개발 역량
Deep Learning Framework (Tensorfilow, PyTorch 등)을 활용한 알고리즘 개발 역량
관련 직장경력 3년 이상 혹은 박사",Robot AI 기술 개발," Robotics 도메인의 AI 및 Data Science 기술 개발, 로봇 운영/센서 데이터 기반 장애예측 및 서비스 최적화 분석 기술 개발",경력/박사,"Robotics 관련 Al 기술 개발 경험 보유
Generative Al 등 state-of-the-art
Deep Learning 기술 연구 경험 보유"
104,104,KT,회사 내규에 따름,3년 이상 또는 박사,대졸 이상,"Machine Learning/통계 분석 지식 및 EDA(Exploratory Data Analysis) Python 기반 Data Science Library를 활용한 소프트웨어 개발 역량
Deep Learning Framework (Tensorfilow, PyTorch 등)을 활용한 알고리즘 개발 역량
관련 직장경력 3년 이상 혹은 박사",Robot AI 기술 개발,"Generative AI 활용 Robot AI 활용 Robot AI application 기술 개발
Case 발굴 및 Application 개발, LLM/NLM*기반 Human-Rob-Interface 기술 개발
Generative AI 기반 Robot Service Use  Case 발굴 및 Application 개발
LLM: Large Language Model
VLM: Vision Lanquage Model",경력/박사,"Robotics 관련 Al 기술 개발 경험 보유
Generative Al 등 state-of-the-art
Deep Learning 기술 연구 경험 보유"
105,105,클로봇,회사 내규에 따름,2년 이상,대졸 이상,"C++ 이용 개발 경험 보유
SW 자료 구조, 알고리즘 디자인에 대한 지식
원활한 소통 능력","경로계획기술개발
경로 추종 및 장애물 회피 제어 기술 개발
동적 환경에서의 강인한 주행 기술 개발
주행 예외 상황 대처 기술 개발
주행 테스트 수행 및 알고리즘 보완","경로계획기술개발
경로 추종 및 장애물 회피 제어 기술 개발
동적 환경에서의 강인한 주행 기술 개발
주행 예외 상황 대처 기술 개발
주행 테스트 수행 및 알고리즘 보완","로보틱스, 컴퓨터 공학 
석사, 박사 혹은 2년이상의 개발 경력",NaN
106,106,랑데뷰,"3,600",무관,대졸 이상,"물체 인식 및 영상 처리 관련 경험
ROS, 임베디드 시스템
DOCKER, 로봇 자동화 시스템",물체 인식 및 영상 처리 개발자 채용 공고,딸기 인식 및 로봇 수확을 위한 컷팅 계산 알고리즘 개발,공학계열 학사,"ROS 기반의 소프트웨어 개발, 임베디드 시스템 개발 경험
하드웨어 시스템과 로봇 자동화 시스템 운용에 대한 이해
DOCKER 환경에서 개발 가능
관련 연구의 석사 박사 학위 보유자
유관 업무 경력자"
107,107,랑데뷰,"3,600",무관,대졸 이상,"C++ , Python, Linux , ROS, DOCKER",로봇 및 시스템 제어 부문 ,"스마트 팜 또는 스마트 팩토리 내부를 자율주행 하며 임무를 수행하는 로봇 개발
로봇팔을 이용한 pick&place 시스템 개발(인식한 작물들을 로봇을 사용하여 수확 및 관리)",공학계열 학사,"ROS 기반의 소프트웨어 개발, 임베디드 시스템 개발 경험
하드웨어 시스템과 로봇 자동화 시스템 운용에 대한 이해
DOCKER 환경에서 개발 가능
관련 연구의 석사 박사 학위 보유자
유관 업무 경력자"
108,108,뉴빌리티,회사 내규에 따름,신입 또는 5년 이하,대졸 이상,"ROS, C++, C, Linux, 임베디드",planning & control 엔지니어 ,"실외 자율주행 로봇의 이동 경로 생성 알고리즘 개발
모바일 로봇의 모션 제어 시스템 개발
개발된 알고리즘 및 시스템에 대한 성능 향상 및 안정성 평가","프로그래밍에 대한 우수한 이해와 경험이 있으신 분
c와 C++ 프로그래밍 언어에 대한 이해가 있으신 분
ROS  또는 기타 로봇 프래임 워크에 대한 경험이 있으신 분 "," 경로 계획 알고리즘 / 제어 시스템 개발 관련 경험이 있으신 분
 Linux / Embedded 시스템에서의 개발 경험이 있으신 분
 다양한 센서에 대한 사용 경험이 있으신 분
 체계적인 문서 작업/관리 경험이 있으신 분
 영어 / 한국어에 대한 커뮤니케이션 스킬이 있으신 분"
109,109,언맨드 솔루션,회사 내규에 따름,신입 또는 경력,대졸 이상,"gnss, SLAM,vision, lidar, ladar,hdmap, localmap,navigation,local path planning,motor control",자율주행 SW 개발 및 운용,"perception
planning
control 엔지니어","자율주행에 대한 관심
원활한 소통
자기 주도적인 마인드
C, C++, java, Python 중 1개이상 초급 수료","자율주행에 대한 열정
Linux 또는 ROS 사용 경험
프로젝트 진행 경험
lidar/camera perception 경험
hd map 사용 경험
통신 및 보안 프로그래밍 경험
영어 우수자"
110,110,(주)아이들,회사 내규에 따름,무관,대졸 이상,"ROS1, ROS2,sensor fusionSLAM,미들웨어,BLDC / AC SERVO MOTOR,CAN / RS485 ",자율주행 로봇 SW 개발자 ,"ROS1, ROS2 기반의 이동형 로봇  ROS PACKAGE 개발
Sensor fusion (LiDAR, Camera, Radar, IMU, GPS 또는 기타)  
Outdoor mapping & localization(SLAM)
로봇 미들웨어 및 구동 Application 개발
BLDC / AC SERVO MOTOR 제어 가능/ 경력자 우대
통신  프로그래밍 경력자 우대 ( CAN / RS485 )",NaN,NaN
111,111,(주)메디인테크,회사 내규에 따름,무관,무관,"Linux, C/C++, Python,ROS2, 맥슨 모터 ,gazebo, issaC sim, webots 관련 시뮬레이터","C/C++, Python 로봇 제어 개발자","C/C++, Python 로봇 제어 개발자","Robot Engineering / Mechanical Engineering 에 대한 전반적인 이해
Linux 기반 C/C++, Python Programming 경험
응용 프로그램 분야에 대한 포괄적 이해","해당 분야 석사/박사 학위
Robot framework 개발 및 툴 사용 경험
Robot Hardware 관련 경험
맥슨 모터 제어 관련 경험
ROS2 개발 관련 경험
Gazebo, NVIDIA ISSAC platform for Robotics, Webots 등 로봇 시뮬레이션 관련 경험"
112,112,우아한 형제들,회사 내규에 따름,경력,대졸 이상,"
ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, ,SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB 데이터 엔지니어,"로봇 주행 중 생성되는 데이터를 수집할지 기획합니다. 데이터를 수집할 장소, 시간, 날씨, 환경 등을 결정하고, 데이터 수집 시나리오를 설계하는 등의 일을 포함합니다.
수집된 데이터를 관리하는 시스템을 개발합니다. 데이터 레이크(data lake)를 구축하는 일, 데이터 버전이 잘 관리되도록 하는 일 등을 포함합니다.
머신 러닝을 위한 학습 데이터를 가공하기 위한 데이터 선별 및 전처리 기법을 개발합니다.
가공된 데이터가 머신 러닝 학습 및 분석에 효율적으로 사용 가능하도록, 데이터를 변환합니다.
데이터의 통계적 분석 및 시각화를 위한 도구를 개발하고 운영합니다.","컴퓨터 관련 학과에서 학사 이상 학위를 취득한 분
자율주행 또는 로보틱스를 위한 센서 데이터를 다루어 본 경험이 있는 분
Python 또는 그와 유사한 프로그래밍 언어를 능숙하게 사용하는 분
RDBMS, NoSQL 등의 데이터베이스 기술을 이해하고 SQL 등을 통하여 데이터를 다룰 수 있는 분","머신 러닝 또는 데이터 사이언스 관련 분야에서 석사 이상 학위를 취득한 분
대규모의 센서 데이터를 위한 데이터베이스를 구축하고 관리한 경험이 있는 분
머신 러닝 기반의 컴퓨터 비전 알고리즘 개발 경험이 있는 분"
113,113,우아한 형제들,회사 내규에 따름,경력,무관,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB General Robotics Software Engineer,"Mapping (지도 작성), localization (위치 추정), perception (인식), planning (계획), control (제어) 등의 자율주행 기술을 소프트웨어로 구현
실내외 환경에서의 자율주행 내비게이션 기술 개발
타 분야 엔지니어들 및 프로덕트 매니저들과 협업","우수한 C++ 프로그래밍 능력을 갖춘 분
자동차 또는 로봇 등을 위한 자율주행 소프트웨어를 실무에서 개발하신 경험이 있는 분 
미적분, 선형대수, 확률 등에 대한 기본 지식을 갖춘 분
컴퓨터 구조, 알고리즘, 자료 구조를 이해하고 실제 문제에 적용하실 수 있는 분
"," ROS, ROS 2를 사용한 개발 업무를 경험한 분
Linux 환경에서의 소프트웨어 엔지니어링에 익숙한 분"
114,114,우아한 형제들,회사 내규에 따름,5년 이상,무관,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ","로보틱스LAB Mapping, Localization 엔지니어","자율주행 로봇을 위한 mapping (지도 작성) 및 localization (위치 추정) 알고리즘 개발
실내외 환경에서의 자율주행 내비게이션 기술 개발
타 분야 엔지니어들 및 프로덕트 매니저들과 협업","Mapping, localization, SLAM 알고리즘에 대한 지식 및 관련 코드 개발 경험이 있는 분
C++ 프로그래밍 능력을 갖춘 분","해당 분야 박사 소지자 혹은 관련분야 5년 이상 경력이 있는 분
자율주행 기술에 대한 전반적인 이해를 갖춘 분
LiDAR, IMU, GPS와 같은 다양한 센서를 사용한 개발 경험이 있는 분
ROS, ROS 2를 사용한 개발 업무를 경험한 분
이동 로봇, 자율주행 자동차, UAV 등의 제품을 개발한 분"
115,115,우아한 형제들,회사 내규에 따름,5년 이상,무관,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB Perception 엔지니어,"실내외 자율주행 로봇을 위한 perception (인식) 알고리즘 개발
실내외 환경에서의 자율주행 내비게이션 기술 개발
타 분야 엔지니어들 및 프로덕트 매니저들과 협업","Object detection, classification, tracking, sensor fusion 등의 알고리즘에 대한 지식 및 관련 코드 개발 경험이 있는 분
C++ 또는 Python 프로그래밍 능력을 갖춘 분","해당 분야 박사 소지자 혹은 관련분야 5년 이상 경력이 있는 분
자율주행 기술에 대한 전반적인 이해를 갖춘 분
LiDAR, IMU, 카메라 등 센서들의 특성을 이해하고 사용한 분
ROS, ROS 2를 사용한 개발 업무를 경험한 분
이동 로봇, 자율주행 자동차, UAV 등의 제품을 개발한 분"
116,116,우아한 형제들,회사 내규에 따름,3년 이상,무관,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB Path/Motion Planning 엔지니어,"실내외 자율주행 로봇을 위한 path planning (경로 계획) 또는 motion planning (모션 계획) 알고리즘 개발
실내외 환경에서의 자율주행 내비게이션 기술 개발
타 분야 엔지니어들 및 프로덕트 매니저들과 협업","Path planning, motion planning, 또는 behavior planning 알고리즘에 대한 지식 및 관련 코드 개발 경험이 있는 분 
C++ 프로그래밍 능력을 갖춘 분","해당 분야 박사 소지자 혹은 관련분야 3년 이상 경력이 있는 분
자율주행 기술에 대한 전반적인 이해를 갖춘 분
ROS, ROS 2를 사용한 개발 업무를 경험한 분
이동 로봇, 자율주행 자동차, UAV 등의 제품을 개발한 분"
117,117,우아한 형제들,회사 내규에 따름,3년 이상,무관,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB 하드웨어(기구) 엔지니어,"자율주행 이동 로봇 시스템의 기구, 메커니즘 개발 및 주행 시험
각종 신뢰성 시험 및 양산 지원","이동 로봇의 기구, 메커니즘 개발 실무 경험 및 관련 지식이 있는 분
이동 로봇의 구동, 조향, 서스펜션을 설계하고 제작하신 경험과 관련 지식이 있는 분
자율주행 하드웨어 시스템을 설계하고 제작하신 경험과 관련 지식이 있는 분
양산을 위한 도면 작성, 신뢰성 검증 등을 거쳐 상품화를 경험한 분","해당 분야 석사, 박사 이상 전공자 혹은 5년 이상의 개발 실무 경력을 갖춘 분
각종 환경, 인증시험을 위한 디버깅 경험과 관련 지식이 있는 분
다양한 하드웨어 간 인터페이스 및 하네스를 설계하고 제작하신 경험과 관련 지식이 있는 분
외부 전문업체를 활용하여 다양한 솔루션을 도입해 본 경험이 있는 분"
118,118,우아한 형제들,회사 내규에 따름,4년 이상,석사 이상,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator ",로보틱스LAB Computer Vision 및 Machine Learning 엔지니어,"장애물 인지, 장애물의 위치와 속도 추정
주행 가능 영역 파악
횡단보도, 보행자 신호등 등 주변 환경 인지","Object detection, classification, tracking 등 컴퓨터 비전 알고리즘을 연구 개발한 경험이 있는 분
관련 분야 석사 학위 이상을 소지하신 분 
숙련된 Python 또는 C++ 프로그래밍 기술을 갖춘 분
로봇 및 자율주행 기술에 관심이 있는 분","이동 로봇, 자율주행 자동차, UAV 등을 위한 컴퓨터 비전 기반의 기능을 개발한 경험이 있는 분
대규모의 실환경 데이터를 이용하여 머신 러닝 모델을 개발한 경험이 있는 분
Edge device에서 실시간으로 동작하는 컴퓨터 비전 기능을 개발한 경험이 있는 분
관련 분야 주요 학회 논문 게재 경험이 있는 분"
119,119,에스티피씨,회사 내규에 따름,2년 이상,대졸 이상,"C++, C ,OpenCV ,ROS,Python,Ubuntu",자율주행 로봇 perception engineer 채용,"카메라 라이다 기반의 비전 솔루션
자율주행 인지 알고리즘 개발
객체 탐지, 형상, 속도, 자세 추정
객체 추적
다중 카메라 센서 퓨전
카메라 & 라이다 센서 퓨전","C / C++ 중급 이상
영상처리 개발 경험
ROS 경험
센서 데이터 작업
TensorRT Flow","자율주행 관련 업무 경험
자율주행 석사 / 박사
C / C++ 마스터"
120,120,코가로보틱스,회사 내규에 따름,무관,대졸 이상,"SLAM,motion planning,deep learning,git, ROS1, ROS2,camera, lidar",자율주행 로봇 개발자 채용,"자율주행 선행기술 연구
카메라/라이다 기반 모바일 로봇 SLAM 알고리즘 R&D
모바일 로봇 모션 알고리즘 R&D
딥러닝 및 영상처리 알고리즘",NaN,"공학계열
관련 계열
git, ROS1, ROS2를 이용한 개발 경험
로봇 관련 프로젝트 유 경험자 (과제, 졸업작품 포함)
창의적, 협업, 발전"
121,121,코가로보틱스,회사 내규에 따름,무관,대졸 이상,"opencv,ml,SLAM,path planning, control, kinematics,git, ROS,Linux",실내 자율주행 로봇 엔지니어 ,"실내 자율주행 알고리즘 개발
시스템 개발 및 성능 평가",학사 이상,"석사 박사
모바일 로봇 개발 유경험 및 해당 직무 근무 경험
git, ROS
로봇 프로젝트 유 경험자
리눅스
영어/수학 논문 리뷰가 가능한 자"
